cluster,center_x,center_y,size
0,130.8865169,37.49144633,1743
1,124.6986164,37.93514457,695
2,125.379954,34.67562398,431
3,126.3072292,33.95641966,306
4,127.3078513,34.03285419,223
5,126.2493925,37.21206908,321
6,129.4411313,36.70543396,1998
7,126.8721237,34.18031973,282
8,129.2294245,37.37838754,522
9,126.4191472,35.81912001,382
10,128.2686522,34.63906618,317
11,129.3342934,37.17990952,471
12,129.3424173,37.23220792,273
13,129.3116014,37.28587555,341
14,129.3717903,37.10328569,475
15,128.4261006,38.49676547,258
16,129.4010382,36.99052492,2179
17,129.4192151,37.05974341,778
18,128.4544351,38.44606407,672
19,128.4705569,38.38027534,971
20,128.5251375,38.32693397,216
21,128.5583459,38.26237677,833
22,126.9530878,33.50715889,403
23,126.8003074,33.38925132,312
24,126.2540879,33.22300948,1603
25,126.8295946,33.32629495,1226
26,126.1020289,34.81157521,1017
27,126.2839337,33.2834703,798
28,126.8805978,33.38532266,266
29,126.3333792,33.24694876,410
30,126.3026117,33.23751325,503
31,126.1807626,33.30304657,285
32,126.1893431,33.35163504,574
33,126.7174932,33.28065256,712
34,126.7489711,33.55469721,371
35,126.2513265,33.33047837,425
36,126.6599186,33.27429479,335
37,126.7980025,33.55470252,452
38,126.8554843,33.52545482,1156
39,126.0679947,34.59091295,536
40,125.9505236,34.73815256,825
41,126.4246298,33.25258708,1525
42,126.8996505,33.49139202,210
43,126.6735514,33.49422501,226
44,126.9132554,33.44995602,839
45,126.9326858,33.46441553,395
46,126.6169127,33.26230902,473
47,126.5130799,33.25173121,2322
48,126.4017554,33.41937496,515
49,126.5737576,33.26674777,343
50,128.3916836,37.77455599,226
51,126.6676312,33.53996779,1140
52,126.6302206,33.53574918,832
53,128.9624077,36.2837289,684
54,126.5630208,33.24964145,2927
55,126.5737727,33.25609632,784
56,129.0626697,36.42824789,818
57,126.2437437,33.39575497,324
58,126.2652374,33.41402356,1594
59,129.1153797,36.66449484,988
60,129.0547159,36.54270796,1035
61,128.3101586,37.94656946,701
62,126.5678631,33.45409809,615
63,128.3467703,38.20308601,400
64,128.0516209,38.19578118,254
65,127.993767,38.10448707,2224
66,128.0792784,37.96572135,356
67,126.3168443,33.45941341,707
68,128.2085991,38.22942749,294
69,126.3686657,33.47522599,448
70,128.206574,38.12280626,845
71,128.1743676,38.06844134,1476
