cluster,center_x,center_y,size
0,130.8906687,37.49686651,357
1,124.6940401,37.9472804,209
2,128.4736148,38.3783158,207
3,128.4554399,38.44593851,179
4,126.8324241,33.3274303,403
5,126.9546127,33.50571748,185
6,126.9143011,33.4492587,254
7,126.9325744,33.46362131,223
8,126.8544641,33.52602538,328
9,126.7979574,33.55529987,178
10,126.2538205,33.40388273,883
11,126.7180198,33.28032949,247
12,126.6573375,33.53996127,592
13,126.4208667,33.25162265,660
14,126.2534697,33.22142071,401
15,126.3055803,33.23622347,213
16,126.5644755,33.25146684,1743
17,126.5119024,33.25047537,520
18,126.3181396,33.4623243,272
19,126.5765772,33.51909042,620
20,126.4849278,33.48676219,3392
21,126.4232907,33.48699934,690
22,126.5461154,33.47400222,348
23,126.5294328,33.50351838,4317
24,129.1145755,36.66464469,217
25,129.0459388,36.52912209,199
26,129.060318,36.43521657,203
27,127.888938,37.69291227,1216
28,129.3724315,37.10400939,164
29,129.402037,36.99127136,318
30,129.4202395,37.05877695,262
31,129.169049,37.44592172,1102
32,129.1091324,37.48784476,491
33,129.1148967,37.52021906,702
34,129.1072828,37.54636372,382
35,127.7509405,34.71959164,157
36,127.7331546,34.73909503,1644
37,127.7038417,34.77035164,198
38,127.7030392,34.75264944,811
39,127.674636,34.74623418,250
40,127.6376749,34.76314362,203
41,127.648324,34.77445117,438
42,127.6644469,34.76033846,1204
43,127.9924171,38.1055415,477
44,128.1732668,38.06796817,235
45,128.206365,38.12341087,191
46,128.6642587,37.38787172,366
47,128.8279129,37.21713575,524
48,129.0452588,37.23257987,181
49,128.9914473,37.1547966,907
50,126.5679562,35.95877243,253
51,126.6896401,36.07881779,354
52,126.6953596,36.01161923,251
53,126.7094521,35.96945886,5007
54,127.1402197,34.52882865,316
55,127.2832364,34.60754048,373
56,128.6243136,34.88714672,2276
57,128.7031279,34.83216013,202
58,128.7279931,34.86995038,377
59,128.6890719,34.86759509,418
60,128.6929792,34.89334444,721
61,128.3936505,37.36976591,237
62,126.2764148,34.493707,504
63,128.1574781,35.5653527,359
64,127.9078592,35.68610285,1036
65,126.7563022,34.32579603,658
66,128.4672829,37.18438171,601
67,128.7383058,36.89056233,213
68,128.5283147,36.87055623,276
69,128.6182724,36.81767127,1671
70,128.4534139,36.65519594,401
71,128.4967421,36.57445691,587
72,128.7249701,36.56260298,2689
73,128.3563344,37.59635557,375
74,128.2240266,37.50621675,227
75,128.6948597,37.6668353,375
76,128.559821,37.63868335,207
77,127.4230065,35.78723816,275
78,127.547763,35.68219869,296
79,128.3637009,36.97976509,575
80,128.2079716,37.14566171,2780
